Symbol,logFC,adj.P.Val,adj.P.Val_1_over,adj.P.Val_2_under
ZNF778,-0.581943904116184,0.0136047248445514,1,0.0136047248445514
ALPK3,0.407316985357802,0.0136055624110479,0.0136055624110479,1
ETFDH,0.406497445721252,0.0136080091519264,0.0136080091519264,1
ODF3L2,0.508644728284651,0.0136085026981036,0.0136085026981036,1
TRIM17,0.554072205992223,0.0136150517044177,0.0136150517044177,1
C7,0.354593553698243,0.0136214927128617,0.0136214927128617,1
ZNF226,0.577351982598321,0.013621886347213,0.013621886347213,1
UBE3D,0.423468947401008,0.013622821601395,0.013622821601395,1
TMEM120A,-0.625700853295799,0.0136403651727889,1,0.0136403651727889
H6PD,-0.408104996121672,0.0136458738841892,1,0.0136458738841892
STX7,0.324096703249326,0.0136475029341794,0.0136475029341794,1
SMG1P5,-0.462329825778691,0.0136534992042821,1,0.0136534992042821
RGS12,0.397283536648077,0.0136540170994092,0.0136540170994092,1
BDP1,-0.32597742767838,0.0136567664370225,1,0.0136567664370225
HOMER2,0.611119353129422,0.0136593671118308,0.0136593671118308,1
ABLIM1,-0.364203687713852,0.0136593671118308,1,0.0136593671118308
DNAJC8,-0.400593101505805,0.0136593671118308,1,0.0136593671118308
CDK18,-0.424819586256707,0.0136667549314927,1,0.0136667549314927
MDN1,0.453721306397897,0.0136667549314927,0.0136667549314927,1
ZNF331,-0.364000057347777,0.0136793925820577,1,0.0136793925820577
ASCC3,0.277205266707597,0.0136800914341364,0.0136800914341364,1
NDUFB2-AS1,-0.448272428722605,0.0136842973305135,1,0.0136842973305135
CPNE8,0.417257702586703,0.0136904004063894,0.0136904004063894,1
IGFN1,0.599320788175531,0.0137097727091405,0.0137097727091405,1
RYR1,0.559423712736155,0.0137115910387464,0.0137115910387464,1
LAD1,0.449022098574893,0.0137122027032414,0.0137122027032414,1
DMBX1,-0.390861958924795,0.0137143196066496,1,0.0137143196066496
COA1,-0.531726822052232,0.0137176435810943,1,0.0137176435810943
PLEKHG3,-0.354964297624231,0.0137255208908126,1,0.0137255208908126
AGGF1,-0.305965537595833,0.0137293839206586,1,0.0137293839206586
TRIM36,-0.45907181665445,0.0137432160738315,1,0.0137432160738315
ZNF527,-0.440919539228236,0.0137432160738315,1,0.0137432160738315
PCMT1,-0.244703819206512,0.0137494636024195,1,0.0137494636024195
RCN3,0.375009356805171,0.0137506781779586,0.0137506781779586,1
SREK1,0.498687125649915,0.0137506781779586,0.0137506781779586,1
JHDM1D-AS1,-0.44039506686319,0.0137537713902208,1,0.0137537713902208
DFNB31,-0.464907873921092,0.0137699380895831,1,0.0137699380895831
IFT27,0.448603313793894,0.0137699380895831,0.0137699380895831,1
HCCS,-0.516520661485478,0.0137699380895831,1,0.0137699380895831
ZNF503-AS2,0.492913684946136,0.0137699380895831,0.0137699380895831,1
LOC101926967,-0.554730635924937,0.0137727338624295,1,0.0137727338624295
ENAH,-0.62117562209496,0.0138074592914492,1,0.0138074592914492
UBE2G2,0.498388311727296,0.0138149919877278,0.0138149919877278,1
KLK3,0.520333843765692,0.0138257819643245,0.0138257819643245,1
SRP72,0.303069535328373,0.0138273586587548,0.0138273586587548,1
ENO1-AS1,-0.586760648999627,0.0138273586587548,1,0.0138273586587548
ALPI,0.594798571274914,0.0138341321031013,0.0138341321031013,1
TRPS1,-0.465925932016718,0.0138370490548571,1,0.0138370490548571
ROBO3,-0.472074698434987,0.0138396795015638,1,0.0138396795015638
NHLRC2,0.425627204867921,0.0138401668655601,0.0138401668655601,1
FOXK1,0.446310648183735,0.0138558779727026,0.0138558779727026,1
RPGRIP1,-0.474244074939737,0.0138641814683432,1,0.0138641814683432
ZNF573,-0.552154778042412,0.0138667001207493,1,0.0138667001207493
GAK,0.439855018008675,0.0138759110169945,0.0138759110169945,1
ANKRD11,-0.31549925547697,0.0138774051032732,1,0.0138774051032732
METTL14,-0.374070150905328,0.0138793494856057,1,0.0138793494856057
NCK1,0.425975643834577,0.0138800865969191,0.0138800865969191,1
NCOA3,-0.519062012708599,0.0138863692475221,1,0.0138863692475221
LOC100286922,0.465848758119111,0.013890764971583,0.013890764971583,1
SLC25A29,-0.589046835195343,0.0138995029955887,1,0.0138995029955887
CXorf36,0.438912814599361,0.0139031580668636,0.0139031580668636,1
B4GALT1,-0.487665448630275,0.0139041773258721,1,0.0139041773258721
TNFSF11,0.452131686485171,0.0139041773258721,0.0139041773258721,1
LOC101929243,0.681350100313121,0.0139062602096121,0.0139062602096121,1
FAM149B1,-0.499082275839042,0.0139088030448708,1,0.0139088030448708
CCNT2,-0.77153430329157,0.0139126730152977,1,0.0139126730152977
DDC,0.406801289051589,0.0139225950749466,0.0139225950749466,1
BACE1,0.403865107813456,0.0139258593203277,0.0139258593203277,1
GPR68,0.410880465060395,0.013931020707576,0.013931020707576,1
